age,daily_activity_hours,sleep_hours,caffeine_intake,screen_time,exercise_hours,stress_score,burnout_general
28.0,12.46,8.42,2.0,16.68,1.4,3,Medium
36.0,10.7,4.46,7.0,14.18,0.33,5,Medium
43.0,9.87,4.44,4.0,14.53,0.36,4,Medium
24.0,11.59,4.63,3.0,15.06,0.15,6,High
24.0,4.68,4.4,7.0,5.88,0.09,4,Medium
41.0,10.73,4.95,4.0,12.29,0.93,3,Medium
34.0,13.97,5.28,6.0,16.72,0.21,7,High
42.0,11.8,5.38,4.0,16.08,0.61,5,Medium
36.0,6.91,7.23,0.0,10.84,0.68,1,Low
28.0,6.78,4.27,5.0,11.68,1.54,4,Medium
22.0,10.67,4.4,3.0,11.85,0.67,3,Medium
39.0,12.96,4.94,2.0,15.49,0.99,5,Medium
36.0,9.78,8.36,6.0,11.42,1.55,2,Low
29.0,9.27,7.14,1.0,10.42,0.41,2,Low
37.0,11.15,5.85,4.0,13.13,1.66,5,Medium
37.0,11.02,5.07,5.0,13.7,1.98,6,High
36.0,13.67,4.19,6.0,15.23,0.89,6,High
43.0,7.0,6.44,6.0,9.95,0.74,3,Medium
22.0,11.56,6.87,2.0,16.24,1.4,5,Medium
22.0,8.34,8.49,0.0,12.33,0.12,2,Low
25.0,9.58,8.41,7.0,13.95,0.08,3,Medium
32.0,12.16,6.12,3.0,16.38,0.67,5,Medium
43.0,6.22,6.12,0.0,8.78,1.46,2,Low
34.0,7.43,4.81,6.0,11.27,0.23,5,Medium
44.0,11.73,5.29,2.0,15.75,1.27,5,Medium
33.0,8.3,8.84,1.0,11.13,0.91,1,Low
24.0,9.87,6.52,4.0,10.94,0.23,4,Medium
21.0,13.1,6.28,3.0,16.67,0.49,6,High
30.0,5.88,4.87,4.0,9.59,0.44,3,Medium
28.0,12.06,7.31,2.0,15.27,0.33,4,Medium
43.0,5.31,6.3,6.0,7.16,0.94,3,Medium
22.0,6.42,5.85,2.0,9.35,1.91,2,Low
28.0,6.43,5.32,3.0,9.03,1.32,2,Low
22.0,12.77,4.33,3.0,17.67,1.67,5,Medium
44.0,5.99,6.6,1.0,10.29,1.96,3,Medium
21.0,11.87,5.56,0.0,15.92,1.08,5,Medium
29.0,13.99,7.62,4.0,16.31,1.86,3,Medium
28.0,12.39,5.66,0.0,14.91,1.4,5,Medium
34.0,11.4,7.35,3.0,14.37,1.92,3,Medium
27.0,12.71,5.29,2.0,13.83,1.3,5,Medium
24.0,12.44,4.08,7.0,14.87,1.78,6,High
30.0,6.61,4.76,1.0,9.86,1.52,2,Low
21.0,4.98,5.23,6.0,6.02,1.13,3,Medium
43.0,10.16,7.86,5.0,12.45,0.94,2,Low
34.0,8.35,4.33,5.0,12.42,1.65,4,Medium
25.0,8.26,4.94,3.0,11.26,1.54,3,Medium
27.0,9.27,5.79,6.0,13.43,0.73,4,Medium
24.0,7.61,4.05,0.0,11.41,1.0,3,Medium
37.0,4.31,6.8,0.0,5.34,0.06,3,Medium
25.0,13.7,8.5,2.0,15.75,0.5,3,Medium
24.0,13.25,4.16,3.0,16.45,0.5,5,Medium
35.0,13.35,5.36,7.0,18.11,1.77,6,High
32.0,7.65,7.66,3.0,11.37,0.66,1,Low
24.0,9.32,7.38,4.0,12.15,1.09,1,Low
32.0,13.54,5.22,4.0,15.06,1.66,5,Medium
36.0,13.02,6.98,6.0,15.99,0.52,6,High
37.0,11.9,7.97,0.0,14.66,0.25,4,Medium
27.0,8.07,4.17,7.0,12.18,1.9,4,Medium
32.0,9.64,7.59,5.0,12.29,1.41,2,Low
38.0,11.93,5.26,5.0,14.21,0.35,7,High
22.0,6.73,8.74,1.0,8.09,1.64,0,Low
43.0,10.26,6.69,7.0,11.45,1.57,4,Medium
27.0,12.28,4.17,0.0,15.04,1.68,5,Medium
21.0,11.07,6.02,5.0,13.46,0.55,6,High
27.0,8.79,8.83,4.0,12.01,0.9,1,Low
32.0,13.89,5.5,7.0,15.05,0.78,6,High
20.0,10.02,6.88,4.0,13.0,0.14,4,Medium
25.0,11.86,7.0,0.0,16.31,0.27,4,Medium
43.0,11.27,4.12,3.0,14.09,1.19,5,Medium
38.0,11.01,4.89,6.0,14.09,0.75,6,High
35.0,11.16,6.76,1.0,14.11,0.01,6,High
27.0,8.54,6.01,1.0,11.1,1.53,3,Medium
20.0,8.74,4.95,4.0,10.18,0.83,3,Medium
35.0,8.68,7.86,2.0,10.19,0.63,1,Low
28.0,4.33,6.44,7.0,6.05,1.43,3,Medium
32.0,6.41,5.55,0.0,10.58,0.91,3,Medium
30.0,5.55,4.81,7.0,7.65,1.39,3,Medium
44.0,6.75,7.33,7.0,10.99,0.02,3,Medium
29.0,5.2,5.1,7.0,9.08,1.96,3,Medium
23.0,11.0,6.98,7.0,12.19,0.54,4,Medium
25.0,4.06,8.53,6.0,7.33,1.37,1,Low
26.0,8.71,5.77,3.0,13.47,0.34,4,Medium
24.0,5.19,5.05,4.0,6.35,0.62,2,Low
30.0,12.5,7.86,2.0,14.66,0.16,4,Medium
32.0,13.58,4.88,4.0,14.79,1.76,5,Medium
38.0,8.42,4.5,7.0,9.88,0.46,4,Medium
42.0,10.45,5.34,2.0,13.37,1.46,3,Medium
29.0,10.0,6.05,1.0,13.88,0.4,4,Medium
29.0,7.5,4.32,2.0,9.16,0.48,3,Medium
30.0,8.44,8.36,1.0,12.46,0.21,2,Low
40.0,4.64,6.57,1.0,5.88,1.93,2,Low
26.0,11.96,6.94,7.0,13.56,0.5,6,High
37.0,6.41,5.86,0.0,8.53,1.99,2,Low
23.0,8.61,7.35,6.0,12.79,0.35,3,Medium
21.0,8.81,6.16,2.0,13.21,0.04,4,Medium
33.0,9.61,7.81,3.0,11.49,1.79,1,Low
31.0,10.92,7.36,2.0,15.31,0.7,1,Low
26.0,10.63,6.46,6.0,14.23,1.03,4,Medium
33.0,8.02,4.56,4.0,12.51,1.23,3,Medium
36.0,13.57,4.58,3.0,14.85,0.16,6,High
36.0,11.3,5.07,0.0,13.39,0.92,5,Medium
27.0,6.28,8.08,1.0,9.89,0.39,1,Low
21.0,5.02,5.23,1.0,6.73,0.61,2,Low
43.0,8.15,6.15,1.0,12.42,1.73,3,Medium
32.0,12.57,7.27,7.0,16.57,0.77,4,Medium
22.0,11.22,4.79,0.0,14.46,1.12,5,Medium
35.0,12.84,7.69,1.0,14.3,1.9,3,Medium
25.0,10.16,7.45,6.0,15.11,1.3,2,Low
38.0,5.3,6.72,1.0,8.26,1.35,2,Low
26.0,5.15,6.83,0.0,7.96,0.5,2,Low
29.0,4.48,4.53,7.0,9.46,1.34,3,Medium
21.0,6.43,4.43,3.0,9.26,1.82,2,Low
41.0,7.18,6.87,2.0,11.89,0.13,4,Medium
23.0,5.77,7.71,1.0,10.15,0.76,1,Low
39.0,5.02,6.87,5.0,7.26,0.3,4,Medium
37.0,8.5,6.97,5.0,12.55,1.85,4,Medium
23.0,7.24,7.78,2.0,9.15,1.34,0,Low
36.0,12.57,4.69,4.0,16.02,0.21,6,High
31.0,9.94,8.08,1.0,11.96,0.68,1,Low
36.0,11.43,4.02,7.0,13.05,0.27,7,High
29.0,12.16,6.6,1.0,15.84,1.11,5,Medium
41.0,10.86,5.98,1.0,13.16,0.71,3,Medium
20.0,8.4,5.48,3.0,9.54,2.0,2,Low
41.0,7.79,7.86,4.0,9.28,0.57,0,Low
43.0,11.72,8.5,4.0,15.34,0.1,4,Medium
37.0,9.18,7.81,2.0,11.14,1.4,1,Low
37.0,11.04,8.23,7.0,14.56,0.65,4,Medium
33.0,12.9,8.54,0.0,15.56,1.32,3,Medium
34.0,13.16,8.56,1.0,16.93,0.21,4,Medium
31.0,6.78,4.57,1.0,9.75,1.05,2,Low
23.0,5.88,6.28,5.0,8.11,0.75,3,Medium
31.0,7.7,8.62,3.0,11.24,1.95,1,Low
26.0,5.73,5.0,4.0,9.69,1.51,2,Low
30.0,4.98,7.2,3.0,6.62,1.53,0,Low
25.0,5.36,4.8,4.0,7.08,0.19,3,Medium
34.0,5.56,5.19,5.0,7.45,1.33,3,Medium
34.0,10.84,6.31,1.0,13.97,0.3,4,Medium
38.0,4.2,4.94,3.0,6.36,0.49,3,Medium
30.0,5.18,6.92,5.0,8.83,1.42,3,Medium
42.0,12.44,6.42,2.0,17.26,1.31,5,Medium
21.0,12.45,6.6,2.0,14.05,0.63,5,Medium
33.0,7.29,4.67,3.0,10.57,1.54,3,Medium
21.0,4.88,6.59,1.0,9.57,1.88,2,Low
23.0,11.05,4.25,3.0,12.76,1.09,5,Medium
36.0,7.6,8.41,2.0,10.07,1.36,1,Low
22.0,4.45,5.72,6.0,5.94,0.54,3,Medium
32.0,5.58,8.28,2.0,9.15,1.94,0,Low
28.0,5.37,7.51,4.0,9.05,0.55,0,Low
26.0,9.89,7.83,6.0,13.55,1.77,2,Low
34.0,12.98,5.57,1.0,16.15,1.86,5,Medium
42.0,11.93,5.14,4.0,15.92,1.44,5,Medium
30.0,9.47,6.03,6.0,10.61,1.62,4,Medium
39.0,8.22,4.12,5.0,13.05,0.92,4,Medium
21.0,10.19,8.59,6.0,12.08,1.84,2,Low
34.0,8.44,5.94,5.0,9.93,1.49,3,Medium
33.0,6.46,8.94,5.0,11.22,0.65,2,Low
39.0,10.79,7.81,6.0,15.11,0.07,3,Medium
41.0,12.73,4.4,6.0,16.79,1.08,6,High
30.0,7.73,7.3,0.0,9.15,1.68,0,Low
36.0,8.31,5.22,5.0,11.75,1.67,4,Medium
31.0,8.01,5.28,3.0,11.94,0.43,4,Medium
43.0,4.28,8.58,4.0,9.19,0.85,0,Low
40.0,10.95,6.5,5.0,12.73,1.23,4,Medium
34.0,12.08,7.35,1.0,15.1,1.34,3,Medium
35.0,10.64,5.4,7.0,14.65,0.67,4,Medium
24.0,5.51,6.61,6.0,8.24,1.39,3,Medium
39.0,5.03,5.75,5.0,6.25,1.18,3,Medium
38.0,8.02,5.23,7.0,11.43,1.33,4,Medium
24.0,13.68,7.3,3.0,15.23,0.33,4,Medium
22.0,11.24,5.11,7.0,13.6,1.75,6,High
20.0,8.12,8.83,7.0,9.92,0.48,2,Low
25.0,4.19,4.62,3.0,5.29,1.49,2,Low
34.0,4.34,6.4,3.0,5.95,0.35,3,Medium
21.0,10.85,4.43,3.0,15.38,1.32,3,Medium
22.0,12.38,4.11,1.0,13.43,1.79,5,Medium
36.0,11.08,8.61,0.0,15.18,0.02,4,Medium
44.0,8.06,8.05,2.0,12.07,1.96,1,Low
43.0,4.31,7.47,0.0,7.57,0.06,1,Low
31.0,13.67,8.33,2.0,15.5,0.02,4,Medium
37.0,13.86,8.01,4.0,18.37,1.72,3,Medium
34.0,9.49,7.24,6.0,12.39,1.42,2,Low
31.0,4.71,8.24,3.0,6.4,0.21,1,Low
35.0,9.41,5.95,4.0,12.13,1.87,3,Medium
27.0,12.92,6.76,4.0,14.7,1.34,5,Medium
33.0,10.8,7.88,6.0,13.3,0.22,3,Medium
36.0,4.85,8.29,1.0,7.29,0.96,0,Low
27.0,5.27,8.32,7.0,10.01,1.65,2,Low
34.0,13.04,5.56,5.0,15.43,1.48,6,High
37.0,11.92,4.37,7.0,15.87,1.8,6,High
39.0,5.15,8.43,6.0,8.27,1.72,1,Low
26.0,13.28,4.87,7.0,16.0,0.45,7,High
22.0,12.21,7.15,4.0,16.47,1.76,3,Medium
31.0,6.25,7.22,0.0,10.81,0.75,1,Low
43.0,6.63,8.93,3.0,8.37,1.94,0,Low
22.0,6.05,4.32,7.0,8.92,1.52,3,Medium
39.0,6.64,7.04,1.0,9.66,0.64,0,Low
33.0,13.1,6.4,3.0,15.83,1.3,5,Medium
34.0,13.16,5.23,5.0,15.21,1.08,6,High
44.0,7.29,4.82,5.0,10.18,0.23,5,Medium
33.0,11.05,7.69,4.0,13.84,1.78,3,Medium
26.0,10.76,8.58,7.0,12.6,1.64,2,Low
36.0,12.07,4.54,0.0,16.68,1.56,5,Medium
31.0,6.97,4.97,4.0,11.51,1.12,3,Medium
23.0,10.68,4.08,2.0,13.28,1.77,3,Medium
28.0,4.26,6.54,5.0,6.74,0.71,3,Medium
25.0,7.77,6.58,0.0,11.64,0.04,4,Medium
35.0,10.96,5.32,5.0,14.39,1.96,4,Medium
44.0,6.53,7.32,1.0,9.93,1.72,0,Low
41.0,13.58,8.72,1.0,15.08,1.25,3,Medium
41.0,4.3,6.25,7.0,7.77,0.02,4,Medium
40.0,13.58,7.75,5.0,18.19,0.46,5,Medium
40.0,6.17,7.23,4.0,7.51,0.9,0,Low
21.0,4.49,6.36,5.0,6.85,1.26,3,Medium
43.0,6.92,4.25,7.0,9.96,1.42,3,Medium
27.0,11.86,7.71,4.0,15.6,1.58,3,Medium
30.0,11.52,5.82,5.0,12.88,1.11,6,High
32.0,6.09,5.12,4.0,10.58,1.31,3,Medium
36.0,5.97,8.74,7.0,7.13,1.62,1,Low
27.0,10.43,7.87,2.0,14.86,1.44,1,Low
40.0,8.58,8.81,3.0,9.69,1.91,0,Low
37.0,11.92,5.28,3.0,13.53,1.75,5,Medium
37.0,4.24,8.18,4.0,8.44,0.34,1,Low
33.0,10.1,7.04,4.0,14.54,1.89,1,Low
34.0,11.31,8.91,6.0,16.24,0.41,5,Medium
25.0,13.93,8.73,6.0,15.39,1.98,4,Medium
32.0,6.32,8.76,7.0,7.63,1.26,1,Low
44.0,5.08,4.04,3.0,6.71,0.65,2,Low
25.0,9.23,5.36,6.0,10.48,0.25,5,Medium
27.0,11.27,8.9,1.0,12.78,0.86,3,Medium
30.0,9.1,4.2,5.0,12.62,1.12,4,Medium
41.0,8.04,6.83,6.0,11.54,1.86,4,Medium
43.0,6.26,5.27,4.0,11.25,1.53,3,Medium
28.0,4.17,5.13,7.0,6.56,0.94,3,Medium
36.0,9.75,4.3,0.0,14.37,0.43,4,Medium
31.0,6.12,4.47,6.0,10.91,1.71,4,Medium
44.0,6.08,7.28,1.0,10.88,1.36,1,Low
33.0,5.25,6.53,5.0,9.26,0.19,4,Medium
34.0,5.9,4.15,0.0,7.92,1.08,2,Low
41.0,10.74,7.28,5.0,14.02,0.13,3,Medium
41.0,8.01,6.58,2.0,10.45,0.83,3,Medium
39.0,9.62,5.36,2.0,13.94,1.61,3,Medium
29.0,13.72,5.82,2.0,15.83,1.55,5,Medium
37.0,8.18,7.41,0.0,10.13,1.01,1,Low
20.0,6.46,4.46,1.0,9.73,1.48,2,Low
20.0,13.2,6.43,6.0,16.83,1.19,6,High
20.0,11.24,5.96,4.0,14.93,1.44,5,Medium
28.0,10.62,8.78,1.0,12.3,1.7,1,Low
32.0,8.41,6.19,2.0,11.8,0.22,4,Medium
20.0,10.71,7.61,3.0,14.14,0.66,1,Low
32.0,4.32,7.28,5.0,7.23,1.08,1,Low
39.0,9.86,4.83,4.0,14.67,1.4,3,Medium
41.0,9.54,8.96,2.0,10.97,1.46,1,Low
26.0,7.47,6.32,4.0,10.1,0.51,3,Medium
21.0,6.02,5.97,3.0,10.55,0.03,4,Medium
25.0,12.08,8.6,7.0,14.63,1.39,4,Medium
26.0,4.54,6.65,0.0,7.24,1.82,2,Low
33.0,4.7,7.53,6.0,8.37,1.6,1,Low
37.0,8.41,8.23,0.0,12.07,1.24,1,Low
34.0,6.53,5.18,5.0,7.62,1.96,3,Medium
21.0,11.45,4.85,0.0,14.27,0.87,5,Medium
29.0,10.34,4.34,7.0,12.67,1.05,4,Medium
42.0,11.73,8.49,6.0,15.24,0.02,5,Medium
31.0,7.25,5.0,6.0,10.47,1.89,4,Medium
30.0,7.45,5.52,1.0,9.47,0.09,3,Medium
25.0,13.0,8.77,3.0,15.48,0.01,4,Medium
28.0,4.5,5.65,3.0,6.47,0.65,2,Low
25.0,7.5,6.04,2.0,11.23,1.9,3,Medium
28.0,5.19,7.86,7.0,8.6,0.31,2,Low
26.0,4.29,6.16,0.0,6.16,1.09,2,Low
28.0,5.13,8.63,4.0,9.67,0.37,1,Low
37.0,8.31,6.52,6.0,11.15,1.57,4,Medium
31.0,10.87,5.74,5.0,12.38,1.12,4,Medium
27.0,6.89,8.86,1.0,8.74,0.4,1,Low
37.0,8.38,5.16,4.0,10.73,1.57,3,Medium
39.0,13.68,4.89,2.0,18.08,1.9,5,Medium
26.0,11.73,7.76,2.0,16.39,0.91,3,Medium
30.0,13.32,6.04,1.0,14.73,2.0,5,Medium
39.0,11.07,8.13,4.0,14.74,1.62,3,Medium
35.0,12.96,6.73,1.0,17.5,1.66,5,Medium
23.0,6.36,5.59,1.0,8.53,1.24,2,Low
25.0,7.45,7.72,0.0,8.99,1.43,0,Low
41.0,11.53,7.73,7.0,14.36,1.61,4,Medium
22.0,8.25,6.5,4.0,13.1,0.18,4,Medium
28.0,12.37,4.23,0.0,15.9,1.39,5,Medium
29.0,12.78,4.39,6.0,16.36,1.63,6,High
33.0,7.0,7.94,0.0,10.69,0.08,2,Low
30.0,12.23,8.12,6.0,13.39,0.59,4,Medium
37.0,5.54,7.39,5.0,8.32,0.65,1,Low
41.0,7.34,8.2,0.0,8.65,1.71,0,Low
31.0,9.18,7.6,3.0,11.44,1.56,1,Low
42.0,6.26,8.48,2.0,10.55,1.31,1,Low
31.0,9.79,4.75,2.0,13.42,1.61,3,Medium
32.0,9.79,5.94,3.0,14.77,0.91,3,Medium
44.0,6.07,6.32,6.0,7.76,1.75,3,Medium
32.0,11.96,5.49,6.0,14.55,0.47,7,High
38.0,10.32,7.63,7.0,14.56,1.41,2,Low
38.0,7.18,8.56,1.0,9.04,0.48,1,Low
42.0,6.32,6.06,4.0,7.93,0.08,3,Medium
33.0,12.79,8.71,4.0,15.5,0.57,3,Medium
23.0,12.36,6.58,4.0,14.89,0.99,5,Medium
32.0,6.3,6.61,0.0,11.22,1.69,3,Medium
27.0,4.36,7.0,4.0,7.19,1.02,0,Low
42.0,12.05,5.34,4.0,16.49,0.36,6,High
40.0,10.16,5.92,6.0,14.71,1.99,4,Medium
42.0,5.01,6.77,4.0,6.64,0.54,2,Low
38.0,9.87,8.71,2.0,13.73,1.97,1,Low
31.0,8.52,7.21,3.0,10.63,1.87,1,Low
37.0,8.53,8.91,1.0,10.7,1.39,1,Low
38.0,5.56,6.46,3.0,7.94,1.69,2,Low
41.0,13.58,8.69,4.0,15.88,0.89,3,Medium
43.0,11.37,7.03,1.0,14.11,1.61,3,Medium
28.0,10.9,7.56,3.0,13.61,1.09,1,Low
29.0,13.23,7.49,3.0,17.9,1.9,3,Medium
38.0,4.73,6.63,6.0,7.09,1.9,3,Medium
22.0,12.03,7.36,6.0,13.15,0.73,4,Medium
34.0,7.24,4.92,3.0,11.13,1.26,3,Medium
20.0,9.19,7.07,5.0,12.55,0.63,2,Low
26.0,11.83,4.26,0.0,16.64,0.13,6,High
31.0,12.39,4.51,7.0,16.17,1.78,6,High
36.0,9.84,7.37,2.0,11.62,2.0,1,Low
40.0,8.03,4.35,7.0,9.51,0.7,3,Medium
43.0,13.47,6.98,5.0,16.55,1.49,6,High
39.0,6.47,5.1,2.0,10.13,0.13,4,Medium
24.0,12.03,5.52,4.0,13.69,0.74,5,Medium
23.0,10.12,4.65,0.0,13.53,0.22,4,Medium
31.0,7.77,5.24,1.0,12.23,0.11,4,Medium
43.0,8.47,7.19,4.0,12.13,1.6,1,Low
37.0,6.77,8.75,1.0,10.93,0.91,1,Low
36.0,5.04,4.24,6.0,6.46,1.05,3,Medium
38.0,4.75,7.96,2.0,6.57,0.54,0,Low
28.0,7.48,7.5,1.0,8.63,1.47,0,Low
23.0,10.15,5.3,7.0,11.73,0.72,4,Medium
40.0,12.38,7.65,3.0,17.03,0.13,4,Medium
21.0,5.84,7.58,3.0,7.73,0.33,1,Low
23.0,8.25,6.3,7.0,11.9,0.26,5,Medium
21.0,7.92,7.44,5.0,11.69,0.87,2,Low
34.0,9.13,6.22,5.0,12.71,0.13,5,Medium
21.0,12.1,5.68,6.0,15.32,1.61,6,High
23.0,9.54,6.33,2.0,12.48,1.82,3,Medium
25.0,12.47,8.48,3.0,15.15,0.5,3,Medium
26.0,9.19,5.92,0.0,13.86,0.97,3,Medium
29.0,10.04,6.02,4.0,11.08,1.04,3,Medium
38.0,8.37,7.04,2.0,9.58,1.97,0,Low
41.0,13.24,7.67,1.0,15.56,1.34,3,Medium
31.0,10.39,4.1,2.0,13.02,0.69,3,Medium
22.0,12.21,7.44,6.0,17.2,1.0,4,Medium
32.0,4.59,6.25,7.0,8.69,0.43,4,Medium
37.0,13.06,6.62,4.0,17.57,0.32,6,High
40.0,6.57,7.66,1.0,8.53,0.14,1,Low
34.0,4.53,8.16,4.0,8.6,0.56,0,Low
20.0,13.65,7.23,7.0,17.88,1.38,4,Medium
27.0,13.13,5.87,5.0,17.71,1.11,6,High
23.0,12.47,4.69,2.0,17.34,0.0,6,High
35.0,8.8,8.79,6.0,11.68,0.25,3,Medium
42.0,13.24,6.31,3.0,15.13,1.69,5,Medium
29.0,13.69,6.83,5.0,16.76,0.54,6,High
31.0,9.03,7.76,3.0,13.99,1.82,1,Low
33.0,5.76,4.34,4.0,7.93,1.75,2,Low
33.0,10.59,8.28,0.0,14.06,0.31,2,Low
21.0,13.75,7.99,3.0,17.53,1.8,3,Medium
42.0,12.72,7.87,6.0,14.58,1.26,4,Medium
24.0,12.62,4.11,4.0,15.97,1.26,5,Medium
24.0,13.34,6.63,1.0,15.6,1.71,5,Medium
25.0,12.94,4.27,2.0,17.36,0.81,5,Medium
32.0,11.76,6.75,0.0,15.62,1.47,5,Medium
28.0,11.18,7.59,7.0,15.49,1.34,4,Medium
41.0,6.65,4.61,6.0,8.45,1.54,3,Medium
34.0,10.21,7.47,6.0,11.35,1.32,2,Low
43.0,12.62,8.06,1.0,15.17,0.59,3,Medium
26.0,8.92,6.67,0.0,10.64,1.88,3,Medium
44.0,5.28,5.68,4.0,6.65,0.45,3,Medium
39.0,4.05,5.66,0.0,7.12,0.94,2,Low
21.0,10.78,8.49,0.0,12.38,0.71,1,Low
26.0,9.5,6.26,0.0,12.77,0.17,4,Medium
25.0,7.31,6.03,7.0,11.22,0.36,5,Medium
36.0,5.69,4.2,4.0,8.83,0.57,2,Low
44.0,8.67,5.82,5.0,13.28,0.93,4,Medium
44.0,5.0,8.25,2.0,6.62,1.75,0,Low
21.0,7.36,7.8,3.0,10.34,1.03,1,Low
22.0,7.79,5.1,5.0,9.44,1.3,3,Medium
24.0,8.66,6.07,0.0,13.16,0.85,3,Medium
24.0,8.67,4.98,1.0,13.4,1.74,3,Medium
20.0,6.57,8.77,6.0,9.17,1.33,1,Low
27.0,12.5,6.99,1.0,14.72,0.18,6,High
31.0,7.56,7.77,4.0,9.68,0.96,0,Low
43.0,6.3,7.57,2.0,10.74,1.65,1,Low
23.0,5.76,8.37,0.0,9.49,1.47,0,Low
32.0,7.23,8.75,4.0,11.75,1.81,1,Low
42.0,4.68,4.16,3.0,6.15,0.46,3,Medium
34.0,4.33,8.88,2.0,7.23,1.95,0,Low
30.0,10.05,8.35,2.0,13.75,0.57,1,Low
29.0,10.19,5.91,4.0,14.78,0.1,4,Medium
22.0,9.3,8.19,5.0,11.83,0.99,2,Low
41.0,11.62,7.68,6.0,13.87,0.22,5,Medium
33.0,4.39,7.97,1.0,9.04,1.36,0,Low
35.0,13.36,5.1,5.0,14.55,1.8,6,High
29.0,4.95,7.24,2.0,7.87,1.84,0,Low
29.0,10.74,4.13,1.0,13.57,1.21,3,Medium
31.0,5.33,8.24,2.0,6.91,1.07,0,Low
28.0,12.8,8.76,7.0,15.38,1.99,4,Medium
20.0,9.11,7.31,6.0,13.0,1.16,2,Low
24.0,4.82,6.56,2.0,7.29,1.85,2,Low
39.0,10.17,7.63,2.0,12.41,1.83,1,Low
30.0,11.76,7.13,1.0,16.71,0.03,4,Medium
44.0,7.75,4.7,6.0,12.51,1.67,4,Medium
41.0,4.08,7.58,6.0,8.29,1.21,1,Low
39.0,10.94,6.16,7.0,15.86,0.31,5,Medium
44.0,7.23,8.45,3.0,11.22,0.22,2,Low
30.0,9.72,5.56,3.0,13.37,1.91,3,Medium
24.0,13.57,4.21,3.0,17.34,0.84,5,Medium
34.0,6.99,7.25,6.0,11.59,1.3,2,Low
24.0,13.9,7.42,6.0,17.63,1.81,4,Medium
31.0,10.33,6.77,4.0,14.37,1.74,3,Medium
24.0,6.42,7.42,3.0,8.28,1.13,0,Low
36.0,11.4,7.46,5.0,14.19,1.47,4,Medium
43.0,8.46,4.22,5.0,10.1,0.7,4,Medium
31.0,4.69,5.84,2.0,8.89,1.25,2,Low
43.0,5.69,5.05,0.0,8.12,0.05,3,Medium
34.0,11.91,4.5,3.0,13.65,1.65,5,Medium
34.0,10.48,5.17,0.0,12.51,2.0,3,Medium
25.0,9.7,4.96,0.0,10.84,1.91,3,Medium
31.0,5.68,8.87,2.0,7.04,0.72,0,Low
39.0,12.38,5.43,0.0,15.75,1.06,5,Medium
37.0,13.61,5.15,7.0,18.07,0.47,7,High
33.0,4.41,8.17,6.0,7.2,0.61,1,Low
21.0,4.78,6.1,0.0,8.28,0.91,2,Low
28.0,12.85,6.11,6.0,17.09,1.49,6,High
24.0,12.16,6.22,6.0,14.59,0.04,7,High
39.0,10.18,6.08,5.0,13.8,0.79,4,Medium
20.0,13.45,5.63,6.0,15.85,1.11,6,High
42.0,10.46,5.43,0.0,14.03,0.43,4,Medium
22.0,6.16,8.41,1.0,8.03,0.16,1,Low
25.0,11.29,4.81,7.0,16.2,1.08,6,High
24.0,10.46,4.91,3.0,11.76,1.28,3,Medium
40.0,13.86,6.86,7.0,16.88,1.28,6,High
24.0,6.14,5.72,7.0,8.29,0.71,3,Medium
20.0,9.98,6.11,3.0,13.38,0.47,4,Medium
36.0,11.8,8.03,0.0,14.51,0.44,4,Medium
38.0,7.39,8.52,2.0,9.62,0.08,1,Low
33.0,7.8,7.95,1.0,9.8,0.37,1,Low
31.0,12.88,5.17,2.0,14.61,1.64,5,Medium
29.0,8.04,8.9,2.0,12.17,0.01,2,Low
39.0,10.25,5.82,0.0,12.14,0.09,4,Medium
40.0,12.89,4.85,4.0,16.98,0.25,6,High
37.0,6.1,6.5,0.0,9.04,0.84,2,Low
43.0,13.82,7.63,5.0,15.11,0.67,4,Medium
30.0,11.02,4.42,4.0,12.68,0.36,6,High
21.0,8.96,7.17,6.0,13.53,0.22,3,Medium
44.0,8.31,8.29,1.0,11.72,1.88,1,Low
37.0,13.54,5.31,4.0,15.28,1.82,5,Medium
44.0,6.06,7.47,0.0,9.88,1.54,0,Low
26.0,7.12,6.0,0.0,11.41,0.5,3,Medium
43.0,7.08,6.07,2.0,9.4,0.65,2,Low
34.0,6.89,5.4,0.0,10.12,1.33,3,Medium
30.0,8.69,7.12,6.0,10.86,0.58,2,Low
31.0,7.28,8.81,3.0,11.29,1.04,1,Low
39.0,10.69,4.82,2.0,13.31,0.7,3,Medium
42.0,4.17,4.07,4.0,6.63,1.56,2,Low
32.0,12.2,6.19,4.0,15.04,1.48,5,Medium
39.0,12.8,7.64,3.0,15.07,1.39,3,Medium
35.0,12.57,8.89,5.0,16.02,0.75,4,Medium
37.0,7.75,7.92,1.0,9.0,1.55,0,Low
29.0,8.62,6.9,6.0,12.85,1.92,4,Medium
42.0,4.12,4.13,7.0,5.81,1.38,3,Medium
27.0,7.99,8.13,6.0,11.52,0.82,2,Low
37.0,8.6,4.89,6.0,11.4,1.59,4,Medium
40.0,13.07,4.28,5.0,17.16,1.22,6,High
20.0,12.94,8.25,3.0,17.24,1.76,3,Medium
42.0,13.66,6.83,6.0,15.48,1.43,6,High
25.0,4.08,5.93,1.0,5.84,1.33,2,Low
34.0,4.68,7.19,3.0,9.4,0.97,0,Low
41.0,6.73,5.41,7.0,8.39,0.11,4,Medium
34.0,9.78,8.33,0.0,11.69,0.9,1,Low
